catboost_baseline,lgbm_baseline,lgbm_optuna,lgbm_RS,catboost_RS,index
0.8712481962481963,0.6654978395468234,0.5723953298133413,0.6569940866655248,0.41513017670019575,32322
0.0,0.0,0.0,0.0,0.00011898411429033354,27737
0.0,0.0,0.0,0.0,0.00020786736617885913,2765
0.1347518903374585,0.1633264723937457,0.1241276631493229,0.1663888734752009,0.22612690342904815,29784
0.0,0.0,0.0,0.0,0.0005075665295072223,14501
0.0,0.0,0.0,0.0,5.251662242722444e-05,33190
0.0,0.0,0.0,0.0,0.00012864375684197,27628
0.978380503144654,1.0,0.9924133366426741,0.9985915492957746,0.989657988987675,44769
0.033324564428069,0.0747269922461738,0.06210979109011309,0.04758016125823087,0.04167359895044814,33294
1.0,1.0,1.0,1.0,0.9996595124236495,15975
0.0,0.0,0.0,0.0,0.00023108439149616822,31864
0.9806173832722506,0.9971988795518208,0.9427482455432766,1.0,0.9993919790605394,3051
0.0,0.0,0.0,0.0,0.00032013385671747296,15250
0.0826060029970077,0.1025732781026563,0.21044608438225457,0.12098973777282873,0.10404046975383689,18783
0.0,0.0,0.0,0.0,0.00023578849052769614,40165
0.7484485696350104,0.5881834215167548,0.7522439811729621,0.5261582208641032,0.33381166146636543,37281
0.9296689747398396,0.9842555994729908,0.8088078053996258,0.9776037145503242,0.9388736228351381,42212
0.0,0.0,0.0,0.0,2.5762530826584035e-05,11901
1.0,1.0,1.0,1.0,0.9996155227266881,156
0.0,0.0,0.0,0.0,0.0007790710360832172,37259
0.0,0.0,0.0,0.0,0.00037135365505612154,18905
0.0369265812437162,0.0394439134007479,0.06788347728726807,0.05760879486929906,0.05867217263889747,26802
0.9985119047619048,1.0,0.9707020326231027,1.0,0.9970643026489332,26750
0.2865275142314991,0.3561867575189169,0.37160493827160496,0.28460832069224573,0.2728811505814526,7847
0.0,0.0,0.0,0.0,5.1076293991929234e-05,26167
0.0,0.0,0.0,0.0,7.584874613742011e-05,18934
0.0505356528576342,0.0831684309414156,0.0749672305444482,0.10507021221721644,0.054460683228700436,31342
0.0,0.0,0.0,0.0,3.001742387048295e-05,24624
0.9619007535674204,1.0,0.9236770293155036,1.0,0.9665545194799958,42431
0.1923522703038507,0.0389030161757434,0.4717616710078141,0.029631083385578398,0.10173566097493761,26092
0.9532246234867218,1.0,0.7815188762071993,0.9967068645640074,0.994531129060505,29589
0.0,0.0,0.0,0.0,0.0006665750353653985,29074
0.1209551425397756,0.1146678826569387,0.1444555797875351,0.07834172228909071,0.07549642337532723,830
0.0748639079681004,0.0942008318478906,0.06979840736379525,0.050757623901277374,0.028321529878014923,35014
