catboost_baseline,lgbm_baseline,index
0.8712481962481963,0.6654978395468234,32322
0.0,0.0,27737
0.0,0.0,2765
0.13475189033745852,0.1633264723937457,29784
0.0,0.0,14501
0.0,0.0,33190
0.0,0.0,27628
0.9783805031446541,1.0,44769
0.03332456442806905,0.07472699224617384,33294
1.0,1.0,15975
0.0,0.0,31864
0.9806173832722506,0.9971988795518207,3051
0.0,0.0,15250
0.08260600299700771,0.1025732781026563,18783
0.0,0.0,40165
0.7484485696350104,0.5881834215167548,37281
0.9296689747398396,0.9842555994729908,42212
0.0,0.0,11901
1.0,1.0,156
0.0,0.0,37259
0.0,0.0,18905
0.036926581243716255,0.03944391340074793,26802
0.9985119047619048,1.0,26750
0.2865275142314991,0.3561867575189169,7847
0.0,0.0,26167
0.0,0.0,18934
0.05053565285763428,0.08316843094141566,31342
0.0,0.0,24624
0.9619007535674203,1.0,42431
0.19235227030385074,0.038903016175743446,26092
0.9532246234867218,1.0,29589
0.0,0.0,29074
0.12095514253977564,0.11466788265693872,830
0.07486390796810044,0.09420083184789067,35014
0.9564378590927264,0.9977777777777778,18072
0.20651947924572733,0.20203809122215197,23710
0.13084142773759408,0.10633661907755115,34419
0.07481334827552921,0.09077942476328558,5549
0.0,0.0,33459
0.0,0.0,12851
0.0,0.0,26494
0.0,0.0,10073
0.2666177451368006,0.3580908289241623,39428
0.0,0.0,25862
0.0,0.0,5568
0.0,0.0,31914
0.0,0.0,38242
0.0,0.0,2636
0.12263198757763975,0.16212220663112586,20312
0.0,0.0,10836
0.1749224361426325,0.14238457071099522,25581
0.0,0.0,33255
0.23501359123882723,0.2791418140682847,5110
1.0,1.0,18622
0.0,0.0,27583
0.0,0.0,4731
0.9986168741355463,1.0,29298
0.0,0.0,39085
0.05780273647920706,0.050353004309838835,41369
0.0,0.0,40674
0.0,0.0,25579
0.0,0.0,5852
0.0,0.0,10101
0.2272977105867562,0.1709219858156028,36555
0.0,0.0,12368
1.0,1.0,1227
0.0,0.0,7712
0.6444904492870596,0.7003352432789355,41967
0.0,0.0,27943
0.0,0.0,9690
0.0,0.0,16787
0.0,0.0,41320
0.0,0.0,14487
0.0,0.0,15673
0.0,0.0,7242
0.0,0.0,1896
0.0,0.0,33675
0.3630875482265637,0.3576434277414669,44463
0.0,0.0,7689
0.0,0.0,28932
0.0,0.0,21863
0.8890804597701149,0.8261171970092157,42799
1.0,1.0,23773
0.0,0.0,30501
0.0,0.0,41631
0.9856011388274234,1.0,4659
0.0,0.0,775
0.2358615936035291,0.3209988962472406,42046
0.9059836001467926,0.9977777777777778,25127
0.0,0.0,37839
0.7850000000000001,0.8678365497180455,9311
0.08336944559854775,0.08267524186177762,14807
0.0,0.0,26469
0.0,0.0,9658
0.0,0.0,22223
0.27762304386503334,0.5801542207792209,29521
0.0,0.0,41156
0.14463868283681908,0.28585858585858587,37078
0.0,0.0,6402
0.016157231566889734,0.018543255954752102,31104
0.5707561063027193,0.6358341414675718,20480
0.0,0.0,32236
0.17192734450016003,0.15834664975515864,29765
1.0,1.0,12218
0.0,0.0,32102
0.0,0.0,30564
0.3366300516156306,0.1946533721125189,26481
0.0,0.0,23014
0.0,0.0,34873
0.9440508901840183,0.9977777777777778,16490
0.0020325203252032522,0.0011376564277588168,31160
0.0,0.0,6238
0.0,0.0,28575
0.5123025570060026,0.708860020434973,2720
1.0,1.0,26379
1.0,1.0,2007
0.0,0.0,39637
0.5657320297608067,0.5009914969223935,7751
0.0,0.0,4475
1.0,1.0,12257
0.24441679551604176,0.08210932857991682,37421
0.0,0.0,38988
0.6643004869898322,0.5625486834397725,43010
0.0,0.0,4761
0.0,0.0,15983
0.0,0.0,35418
0.1159119224058071,0.18349596297422385,22309
0.0,0.0,14686
0.9963538269994664,1.0,43339
0.911472387380022,0.942042042042042,7086
0.0,0.0,14943
0.9435064142050585,0.9663678403260946,43648
0.0,0.0,31421
0.0,0.0,26059
0.13074121432488228,0.14365079365079364,16911
0.0,0.0,12970
0.04848610051699296,0.07679351518784973,20314
0.0,0.0,25240
0.03415680294808999,0.03636957423453774,12922
0.0,0.0,15484
0.0,0.0,41555
0.0,0.0,24377
0.0,0.007281848322310749,26333
0.0,0.0,4877
0.5474371373029677,0.5202277131782945,7741
0.2542498719918075,0.328390415092281,33210
0.17114346615064982,0.1633883273589156,4367
0.0,0.0,24630
0.3001176459515675,0.35068810132748746,2292
0.0,0.0,1966
0.9594411592882658,0.9145811466806612,10204
0.0,0.0,33132
0.0,0.0,32079
0.1518608076614713,0.11664142272778792,31550
0.0,0.0,37331
0.0,0.0,622
0.20312544290919232,0.1648520269678662,24151
0.0,0.0,30270
1.0,1.0,5387
0.9362785230485962,0.7775962705399627,37154
0.0,0.0,30230
1.0,1.0,42816
0.0,0.0,21153
0.04632036770131303,0.047342214008880674,8892
0.0,0.0,39319
1.0,1.0,42143
0.0,0.0,16537
0.0,0.0,38798
0.0,0.0,33396
0.06372007161888679,0.060097288126607105,25988
0.0,0.0,3875
0.0,0.0,16605
0.0,0.0,37775
0.0,0.0,41563
0.8028488008342022,0.7240745209380494,5773
0.20651947924572733,0.2436152843076699,17042
1.0,1.0,42769
0.0,0.0,24211
0.9945317697937459,1.0,42465
0.0,0.0,8177
0.013978034517187278,0.01726726726726727,15626
0.0,0.0,31503
0.1357073844030366,0.14238457071099522,18249
0.20708606176447106,0.23793144694271104,12861
0.1665580679445673,0.09565262413838126,8953
0.5595238095238094,0.4420421374063758,42435
0.0,0.0,3522
0.0,0.0,30216
0.20651947924572733,0.3222287890727607,37978
0.05832519508101907,0.0752930892636775,24475
0.6726012388695315,0.6046146321925838,2786
0.0,0.0,15211
0.0,0.0,25089
1.0,1.0,44080
0.08093963722866489,0.08623631270690095,22679
0.0,0.0,33940
0.5463659147869674,0.4180571389532923,21826
0.03923752409509531,0.03578070223739515,11743
0.0,0.0,12394
0.0,0.0,21191
0.0,0.0011376564277588168,38384
0.4540992796145222,0.47168597168597165,7465
1.0,1.0,11877
0.07276846382117202,0.05264242659926113,12541
0.0,0.0,1198
0.0,0.0,17139
0.0,0.0,11870
0.0,0.0,34563
0.0,0.0,39270
0.15071297277436557,0.19297686171356587,35966
0.8206791357531061,0.7498415782048613,14393
0.0,0.0,39002
0.0,0.0,11709
0.1503874269005848,0.1343614641641403,32246
1.0,1.0,18670
0.0,0.0,23634
0.0,0.0,38496
0.0,0.0,20635
0.18660941121641797,0.24756271462662247,8170
0.0700097948152321,0.15948665374192536,14256
0.0,0.0,27407
0.0,0.0,21705
0.0,0.0,14987
0.0,0.0,32198
0.0,0.0,41308
0.0,0.0,33739
0.34653343202566006,0.3036342531070731,23992
0.0,0.0,10881
0.0,0.0,13545
0.0,0.0,39934
0.9947514359279065,0.972282564270658,8275
0.0,0.0,32772
0.9531481177050797,0.9949766573295985,11040
0.7143823189319879,0.8754160320969459,11968
0.07811911314233295,0.0976790450928382,11984
0.0,0.0,38764
0.0,0.0,6012
0.8792725516094745,0.8849318172454992,43596
0.0,0.0,6803
0.10660463419084108,0.10287092803125943,32055
1.0,1.0,12171
0.0,0.0,5243
0.23844832310967767,0.12378890603013742,41815
0.0,0.0,24366
0.0,0.0,29931
0.21221180385866,0.2296663416747915,3284
0.0,0.0,15744
0.0,0.0,1631
0.7616924556342338,0.8492732069637695,42829
0.00870942201108472,0.0,33702
0.0,0.0,38905
0.0,0.0,6808
0.0,0.0,34375
0.0,0.0,33546
0.0,0.0,2645
0.9909050179211469,0.9949766573295985,1871
0.0,0.0,36596
0.1806761035756397,0.21640927560695059,37366
0.0,0.0,9663
0.427467825909035,0.36358645399907524,37317
0.0,0.0,27307
0.019511891146887186,0.01003193641970794,943
0.0,0.0,13124
0.0,0.0,300
1.0,1.0,5303
0.0,0.0,18755
0.056897759103641456,0.010461665751768141,40857
0.0,0.0,208
0.7664727657324167,0.6022321428571429,36700
0.0,0.0,20465
1.0,1.0,43173
0.5014478114478114,0.5280330455769052,14576
0.0,0.0,33772
0.0,0.0,8715
0.0,0.0,34516
0.9297634732417341,0.9524958677685951,3498
0.6444904492870596,0.5634487734487735,3055
0.0,0.0,32066
0.08238977853416979,0.1269779029989087,28194
0.0,0.0,37407
0.0,0.0,30727
0.897428972216988,0.9247863247863247,22251
0.14509755144454098,0.14706466037747415,7890
0.8917280917280918,0.9699520697167756,42362
0.0,0.0,8214
0.1790425201070526,0.16899115432185743,15915
0.9013888888888889,0.6452836052836052,29449
0.0,0.0,35165
0.0,0.0,5122
0.16750716765174248,0.043303880803880805,38054
0.0,0.0,7367
1.0,1.0,44821
0.3031057428859254,0.3091877680918777,2434
0.0,0.0,23319
0.0,0.0,40042
0.0,0.0,14525
0.02714316624974932,0.006472491909385113,24662
0.0,0.0,38479
0.0,0.0,12852
0.0,0.0,297
0.010075566750629723,0.0,1323
1.0,1.0,42088
0.0,0.0,33280
0.0,0.0,14510
0.0,0.0,38053
0.0,0.0,39663
0.0,0.0,16137
0.21681445176094982,0.26480340400491137,9265
0.0,0.0,30332
0.0,0.0,30759
0.0,0.0,23434
0.9744703193168105,1.0,5310
0.9895484949832776,0.9774621212121213,20766
1.0,1.0,155
1.0,1.0,16666
0.0,0.0,13221
0.0,0.0,39617
0.21741753985667078,0.16799158288519989,36341
0.0,0.0,31580
0.0,0.0,20102
0.0,0.0,2761
0.0,0.0,40697
0.186652043295456,0.15977093973801584,9894
0.11000910577181765,0.11320740830238023,8795
0.0,0.0,6319
0.0,0.0,34694
0.1520025549535263,0.09942580578010618,39566
0.0,0.0,38854
0.0,0.0,20419
0.0,0.0,33499
0.3670602623396981,0.3592658261097978,7012
0.32440318302387267,0.2634239519388753,12434
0.033062026648242204,0.0,39615
1.0,1.0,1288
0.0,0.0,2956
0.0,0.0,8566
0.0,0.0,38643
0.0,0.0,40700
1.0,1.0,16964
